"author","published_at","updated_at","like_count","text","comment_type","parent_id"
"@XimatoriPlay","2018-06-20T19:31:57Z","2018-06-20T19:31:57Z","24","Добро Пожаловать на Новую Рубрику Аниме Теории =^_^= Если тебе понравится эта задумка , что бы я продолжал делать Аниме Теории , То обязательно ставь лайк и оставляй комментарий и если не труда можешь поделится этим Роликом со Своими Друзьями =^_^=","Top Level",""
"@XimatoriPlay","2018-06-20T19:44:08Z","2018-06-20T19:44:08Z","3","Nazik_RU AkatsukiRU 👍","Reply","UgzrZfYSGf1nVtIWQzt4AaABAg"
"@user-mr2qs2dn9q","2018-06-21T17:44:36Z","2018-06-21T17:45:06Z","3","У этого парня два меча , один большой другой маленький (не чего не напоминает ? ) . Кстати Вышел Саске взрослый в игре Наруто икс боруто . Не знаю как у вас а у меня точно .","Reply","UgzrZfYSGf1nVtIWQzt4AaABAg"
"@XimatoriPlay","2018-06-23T04:04:08Z","2018-06-23T04:04:08Z","1","Никита Фролов Не-а поделись кого именно напоминает ? Да сегодня будет видео по NxB","Reply","UgzrZfYSGf1nVtIWQzt4AaABAg"
"@user-mr2qs2dn9q","2018-06-23T08:26:21Z","2018-06-23T08:26:21Z","2","А ты про это . Ну типо два меча есть не только у Черного клевера также они есть и у Ичиго тру шикай . Парные клинки .","Reply","UgzrZfYSGf1nVtIWQzt4AaABAg"
"@taironn9262","2018-10-28T14:52:44Z","2018-10-28T14:52:44Z","0","Я только что прочел этот момент в манге с королевой,и так ничего не было написанно просто эту птицу.Эта инфа про королеву не точна.Сори,просто факт.","Reply","UgzrZfYSGf1nVtIWQzt4AaABAg"
"@XimatoriPlay","2019-01-17T14:54:50Z","2019-01-17T14:54:50Z","0","Tairon Game В аниме уже этот момент показали Когда птица села ей на плечо =^_^=","Reply","UgzrZfYSGf1nVtIWQzt4AaABAg"
"@Tomodosya","2019-01-21T15:12:52Z","2019-01-21T15:12:52Z","0","По моему эта птица вообще какйто спелл Ями,у неё глаза такие же типо уставшие убийцы,и Ями же находил своих учеников скажу так,и с помощью птицы он может легко передвигатся,да и в ведьмином лесу птицы передвигаются свободно,и в тюрьме,так он и находил себе подходящих людей, вот да","Reply","UgzrZfYSGf1nVtIWQzt4AaABAg"
"@user-xe8yf7xf8c","2019-04-06T14:29:38Z","2019-04-06T14:29:38Z","0","та ахр*нено","Reply","UgzrZfYSGf1nVtIWQzt4AaABAg"
"@levsama8089","2019-05-02T18:18:12Z","2019-05-02T18:18:12Z","0","Ximatori Play ну вы не угадали пацаны, это конечно человек, но с Астой не связана и возраст действительно не маленький","Reply","UgzrZfYSGf1nVtIWQzt4AaABAg"
"@playfire3860","2023-04-08T18:34:53Z","2023-04-08T18:34:53Z","0","Хоть все мы уже знаем но скажу свое мнение: теории просто АХ<a href=""http://www.youtube.com/results?search_query=%23%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5"">#ЕННЫЕ</a> мне понравились эти теории это как альтернативная версия сюжета","Top Level",""
"@any_djiraya553","2023-03-21T10:17:53Z","2023-03-21T10:17:53Z","1","Ясно но я не могу понять КАКОГО ХРЕНА ОН ВИДИТ ГДЕ НАХОДЯТСЯ ЭТИ КАМНИ И КАК ОН НАХОДИТ АРТЕФАКТЫ ОН ЧО ТИПА БОЖЕСТВА И СНОСИТ ВЕРС ЧК","Top Level",""
"@robix9248","2023-01-21T10:34:09Z","2023-01-21T10:34:09Z","0","я начало не понял что за фигня а потом увидел дату публикации","Top Level",""
"@simplist4","2023-01-07T14:57:07Z","2023-01-07T14:57:07Z","0","первый раз я её увидел когда аста тренировался со своим недавно полученным мечём, думаю это связано","Top Level",""

