"author","published_at","updated_at","like_count","text","comment_type","parent_id"
"@sasha3291","2024-03-05T19:49:14Z","2024-03-05T19:49:27Z","0","И вот на <a href=""https://www.youtube.com/watch?v=QcIbFriD-Bc&amp;t=722"">12:02</a> видно как на картинке с лева текстуры становятся черными у меня так тоже происходит когда включен режим низкой задержки","Top Level",""
"@sasha3291","2024-03-05T19:43:13Z","2024-03-05T19:43:13Z","0","На винде 11 игра может иногда зависать на секунд 5, на 10 такого не разу не было. Без понятия с чем это связано(","Top Level",""
"@kaizerkaizerovich7774","2024-03-05T05:09:43Z","2024-03-05T05:09:43Z","0","всем привет с вами человек а я думал животное","Top Level",""
"@dekuk1d470","2024-03-05T07:31:19Z","2024-03-05T07:31:19Z","0","открой окно пж)))","Reply","UgwEOn7-wmRkTCcz-_R4AaABAg"
"@altaress77","2024-03-04T00:34:43Z","2024-03-04T00:34:43Z","0","ебать где ж ты раньше был мэн,я по ходу просмотра видоса как маленький ребёнок доверился всё машинально натыкал,пошёл фасик НЕ РАЗМЯТЫМ ДАЛ 48 ФРАГОВ потому что мышь как будто блять моя рука теперь спасибо❤","Top Level",""
"@cybernrt","2024-03-01T19:30:46Z","2024-03-01T19:30:46Z","0","я тут обновил систему, проц на ам5 + оперативка ddr5 + материнка, вышло в 30к,  нет фризов и подлагов, хотя у меня старая видюха rx570 которая выдаёт 200фпс, но при этом всё идеально гладко и быстро","Top Level",""
"@godblessusa1111","2024-03-01T16:02:37Z","2024-03-01T16:02:37Z","0","как раз гп и галку нужно ставить))))","Top Level",""
"@cement31","2024-02-29T13:33:43Z","2024-02-29T13:33:43Z","0","Пиздос. Комп выключается при заходе в игру после твоей настройки :D хз че делать. Синий экран и все","Top Level",""
"@Lsowokdjdksksk92929","2024-03-04T06:39:10Z","2024-03-04T06:39:10Z","0","В реестр не нужно было лазить","Reply","UgwXjQgzzt8LCcrr1PJ4AaABAg"
"@cement31","2024-03-05T20:57:27Z","2024-03-05T20:57:27Z","0","@@Lsowokdjdksksk92929 делал все как на видео. Больше не буду 😂 Снес винду","Reply","UgwXjQgzzt8LCcrr1PJ4AaABAg"
"@keramor666","2024-02-29T03:04:37Z","2024-02-29T03:04:37Z","0","гп ставится у кого видюха хорошая","Top Level",""
"@dekuk1d470","2024-02-29T03:07:21Z","2024-02-29T03:07:21Z","0","ок иванзоло умный","Reply","UgwqUQzJBjjFd1HvvLF4AaABAg"
"@keramor666","2024-02-29T04:30:04Z","2024-02-29T04:30:04Z","0","сори если обидел @@dekuk1d470","Reply","UgwqUQzJBjjFd1HvvLF4AaABAg"
"@jakkefq","2024-02-28T12:09:21Z","2024-02-28T12:09:21Z","0","бро, нужно ли оффать повышенную точность указателя в винде?","Top Level",""
"@lolicorez","2024-02-28T14:33:04Z","2024-02-28T14:33:04Z","3","нужно брат","Reply","UgyME_y-r9N97MkUsDF4AaABAg"
"@olqow","2024-02-28T09:21:57Z","2024-02-28T09:21:57Z","0","у тебя тт есть?","Top Level",""
"@dekuk1d470","2024-02-28T09:24:17Z","2024-02-28T09:24:17Z","1","да dekuk1d","Reply","UgwpXAVy8pYiuTUmYHR4AaABAg"
"@ProGenchic","2024-02-27T11:15:31Z","2024-02-27T11:15:31Z","0","на вин11 отключать оптимизацию экрана не нужно","Top Level",""
"@dekuk1d470","2024-02-27T11:18:01Z","2024-02-27T11:18:01Z","0","Ну монеси даун походу","Reply","UgxSvaWNoM43mYwdrzl4AaABAg"
"@ProGenchic","2024-02-27T11:43:33Z","2024-02-27T11:43:33Z","0","@@dekuk1d470 ХО ХО ХО, НЕ ЗНАЮ)))<br>на самом деле просто статьи почитать надо на эту тему, именно в win11, потому что там интересные вещи пишут. Но в ближайшее время попробую снова отключить и посмотреть что как","Reply","UgxSvaWNoM43mYwdrzl4AaABAg"
"@R_S_S","2024-02-26T19:03:40Z","2024-02-26T19:14:10Z","0","-&quot;Не помню у кого взял это... &quot; - Иосиф кс го - вот у кого)","Top Level",""
"@dekuk1d470","2024-02-26T19:14:04Z","2024-02-26T19:14:04Z","0","красава братан напомнил самый популярный пак в инертете гифтхаба))","Reply","UgwONbGBA5MSRccJnUx4AaABAg"
"@R_S_S","2024-02-26T20:13:35Z","2024-02-26T20:13:35Z","0","@@dekuk1d470 ,хз, я был его подпищиком, а не пользователем гитхаба. Поэтому жаль что ты не упомянул его, хотел восстановить справедливость. Да, у тебя мало подпищиком, и канал того типа мертвый после взлома его дискорда, но все же)","Reply","UgwONbGBA5MSRccJnUx4AaABAg"
"@dekuk1d470","2024-02-26T20:16:18Z","2024-02-26T20:16:18Z","0","@@R_S_S ну я не настройщик компьютеров не вливаюсь в эту тему прост показал базу для работяг больше на эту тему видосов наверное не будет","Reply","UgwONbGBA5MSRccJnUx4AaABAg"
"@raybeamfx","2024-02-25T15:25:29Z","2024-02-25T15:25:29Z","0","после слов про скейлинг на дисплей, хотел дропнуть.<br>Чувак у большинства моников технология дисплей скейлинга отличается и мышь ощущается по другому.<br>По этому если будет лан или типо того, очень хуевый варик","Top Level",""
"@Mishel-vermehel","2024-02-24T20:54:41Z","2024-02-24T20:54:41Z","0","А шо делать если GTX1650 и проц с 4 ядрами","Top Level",""
"@samogooonnn","2024-02-24T18:52:55Z","2024-02-24T18:52:55Z","1","На данный момент 11400f 1660 super, что советуешь поменять? Видюху или проц? И что скажешь про процессоры по типу 5800x3d, отличный для кс2?","Top Level",""
"@develianonfire3553","2024-02-24T19:35:39Z","2024-02-24T19:35:39Z","0","Процессор, видяха не дает прироста фпс в кс. Я 1660 на 3060 поменял, разница если и есть, то минимальная. А вот процессор даст нихуйственный буст к фпс","Reply","UgytVlfUn868xzCx7WF4AaABAg"
"@dekuk1d470","2024-02-24T20:30:39Z","2024-02-24T20:30:39Z","0","@@develianonfire3553 +","Reply","UgytVlfUn868xzCx7WF4AaABAg"
"@dekuk1d470","2024-02-24T20:30:58Z","2024-02-24T20:30:58Z","0","купи проц не меняй видюху это бред","Reply","UgytVlfUn868xzCx7WF4AaABAg"
"@samogooonnn","2024-02-24T20:36:32Z","2024-02-24T20:36:32Z","0","Спасибо, услышал@@develianonfire3553","Reply","UgytVlfUn868xzCx7WF4AaABAg"
"@samogooonnn","2024-02-24T20:36:35Z","2024-02-24T20:36:35Z","0","Спасибо@@dekuk1d470","Reply","UgytVlfUn868xzCx7WF4AaABAg"
"@pallstakana001","2024-02-29T07:51:12Z","2024-02-29T07:51:12Z","0","менять платформу ради того чтобы? что","Reply","UgytVlfUn868xzCx7WF4AaABAg"
"@lawlessheaven6690","2024-03-01T21:27:08Z","2024-03-01T21:27:08Z","1","зачем менять проц если он нормальный?","Reply","UgytVlfUn868xzCx7WF4AaABAg"
"@XMPxUnki","2024-02-22T20:26:32Z","2024-02-22T20:26:32Z","0","Мужик а что делать если удалился microsoft store вместе с control panel я потыкал на возврат не вернулось","Top Level",""
"@fortunaFOREVER","2024-02-22T17:57:53Z","2024-02-22T17:57:53Z","0","а что по параметрам запуска? если не сложно ответь плс)","Top Level",""
"@Wr0ng__","2024-02-22T15:53:03Z","2024-02-22T15:53:03Z","0","настройка низкой задержки в мониторе titan army, на что ставить на высокое или низкое?<br>не понимаю если высокое поставить задержка будет высокая или наоборот низкая, также и со значением низко","Top Level",""
"@dekuk1d470","2024-02-22T16:08:38Z","2024-02-22T16:08:38Z","0","у меня предельный режим на монике стоит","Reply","UgxOgiUoYvzFxIM86Ep4AaABAg"
"@JustReBound","2024-02-21T16:10:14Z","2024-02-21T16:10:14Z","0","Знаешь кто такой Gaussjan? Если знаешь то это я","Top Level",""
"@DASXyX","2024-02-21T14:42:36Z","2024-02-21T14:42:36Z","0","если не ошибаюсь если галочку убрать то масштабирование не будет работать для бб (черные полосы по бокам) то есть экран будет растянутым энивей","Top Level",""
"@DASXyX","2024-02-21T14:44:33Z","2024-02-21T14:44:33Z","0","и еще я не понял почему ты не сказал про виды электропитании","Reply","UgwWf83HvcpLe2VkC3x4AaABAg"
"@dekuk1d470","2024-02-21T14:49:26Z","2024-02-21T14:49:26Z","0","про это забыл ролик на быструю руку@@DASXyX","Reply","UgwWf83HvcpLe2VkC3x4AaABAg"
"@zlyuchaa","2024-02-21T13:47:51Z","2024-02-21T13:47:51Z","0","полез изменять параметры в реестре винды, не обьяснил зачем, ни за что этот параметр отвечает","Top Level",""
"@dekuk1d470","2024-02-21T14:01:46Z","2024-02-21T14:01:46Z","0","братан прости меня пожалуйста мне же не впадлу сидеть обьяснять че да как в ролике который я за 10минут сделал, и я же ебнутый настройщик пк а не блять полу про игрок который сидит по 15часов в контре ало)","Reply","UgyIo3S91bkKWqAUwGl4AaABAg"
"@m0ncl3ar9","2024-02-21T11:42:48Z","2024-02-21T11:42:48Z","0","На счет настройки NVIDIA в 3d не много неправильная у тебя","Top Level",""
"@BORODACHMC","2024-02-21T11:23:50Z","2024-02-21T11:23:50Z","0","у меня ща р5 4500 и рх6600хт, как думаешь, если возьму р5 5600 сильно фпс увеличится?","Top Level",""
"@dekuk1d470","2024-02-21T12:07:04Z","2024-02-21T12:07:04Z","0","да сильно","Reply","UgxmXgtc1ivVOVlDZ4R4AaABAg"
"@d.b.485","2024-02-21T09:41:56Z","2024-02-21T09:41:56Z","0","Блять народ у меня rtx 4090, 14900К и единственная игра к которой у меня претензии это CS ебаная 2.","Top Level",""
"@user-rb3hv9zl4f","2024-02-20T22:55:24Z","2024-02-20T22:55:24Z","0","3070ti+12600kf. на макс настройках стабильно 200-350 фпс (в зависимости от карты/мест итд). но иногда так лагает (например, тпает на милисекунду обратно), будто пинг под сотку. причем всегда было нормально. тут на три недели выпал из кс, скачал обновления, и только после этого начался этот ужас. изменение пакетов и микро в настройках не помогло.","Top Level",""
"@dekuk1d470","2024-02-21T14:00:59Z","2024-02-21T14:00:59Z","0","поменяй винду и поставь имя на английском языке я так пофикссил свои фризы когда учетная запись была на русском супер лагала CS 2)","Reply","Ugwigg5PpntGshxYeSt4AaABAg"
"@user-rb3hv9zl4f","2024-02-22T18:03:18Z","2024-02-22T18:03:18Z","1","@@dekuk1d470 попробую. В любом случае пасиб, что пытаешься помочь)","Reply","Ugwigg5PpntGshxYeSt4AaABAg"
"@user-rb3hv9zl4f","2024-02-24T18:33:18Z","2024-02-24T18:33:18Z","1","@@dekuk1d470 пездец, это реально помогло)) я еще думал, почему у меня на м2 карты загружались дольше, чем у друга с ссд, теперь всё за секунды происходит. От души)","Reply","Ugwigg5PpntGshxYeSt4AaABAg"
"@dekuk1d470","2024-02-24T20:31:39Z","2024-02-24T20:31:39Z","0","@@user-rb3hv9zl4f в тг подписку бы…","Reply","Ugwigg5PpntGshxYeSt4AaABAg"
"@n1pers71","2024-02-20T21:21:42Z","2024-02-20T21:21:42Z","0","Ребят поставьте чистую винду, и накатите атлас 0.3.2 и будет вам счастье","Top Level",""
"@songoku698","2024-02-20T20:48:00Z","2024-02-20T20:48:00Z","0","не возможно играть","Top Level",""
"@songoku698","2024-02-20T20:47:37Z","2024-02-20T20:47:37Z","0","спс теперь rate 300-100 до этого было 900-1000","Top Level",""
"@IlyaStoner-vb8im","2024-02-20T19:58:09Z","2024-02-20T19:58:09Z","0","После масштаба на дисплей можно закончить","Top Level",""
